Key,en,he,it,es,fr,ar,ru
item_English_cake_pan_springform_pan,Cake Pan,תבנית עוגה,Tortiera,Molde para pastel,Moule à gâteau,صينية كيك,Форма для выпечки
item_English_cake_pan,Cake Pan,תבנית אינגליש קייק,Stampo plumcake,Molde bizcocho,Moule à cake,قالب كيك,Форма для выпечки
item_Springform_pan,Springform Pan,תבנית קפיצית,Tortiera apribile,Molde desmontable,Moule à charnière,قالب متحرك,Разъемная форма для выпечки
item_Wok_or_stir_fry_pan,Wok,ווק,Wok,Wok,Wok,مقلاة ووك,Вок
item_Wok,Wok,ווק,Wok,Wok,Wok,مقلاة ووك,Вок
item_Stir_fry_pan,Stir-fry Pan,מחבת הקפצה,Padella per saltare,Sartén saltear,Poêle à sauter,مقلاة قلي سريع,Сковорода для жарки
item_Flat_baking_sheets,Baking Sheet,תבנית שטוחה,Teglia piana,Bandeja de horno,Plaque de cuisson,صينية مسطحة,Противень
item_Dinner_plates_large_,Dinner Plates,צלחות (גדולות),Piatti piani,Platos llanos,Assiettes plates,أطباق عشاء,Обеденные тарелки
item_Appetizer_plates_small_,Small Plates,צלחות קטנות,Piattini,Platos pequeños,Petites assiettes,أطباق صغيرة,Маленькие тарелки
item_Deep_bowls_for_soup_cereal_,Bowls,קערות מרק,Ciotole,Cuencos,Bols,أوعية شوربة,Боулз
item_Soup_bowl,Soup Bowl,קערת מרק,Ciotola zuppa,Cuenco sopa,Bol à soupe,وعاء شوربة,Суповая миска
item_Cereal_bowl,Cereal Bowl,קערת קורנפלקס,Ciotola cereali,Cuenco cereales,Bol à céréales,وعاء حبوب,Миска для хлопьев
item_Cutlery_knives_forks_spoons_teaspoons,Cutlery,"סכו""ם",Posate,Cubiertos,Couverts,أدوات مائدة,Столовые приборы
item_Table_Knives,Table Knives,סכיני שולחן,Coltelli da tavola,Cuchillos de mesa,Couteaux de table,سكاكين مائدة,Столовые ножи
item_Forks,Forks,מזלגות,Forchette,Tenedores,Fourchettes,شوك,Вилки
item_Spoons,Spoons,כפות,Cucchiai,Cucharas,Cuillères,ملاعق,Ложки
item_Teaspoons,Teaspoons,כפיות,Cucchiaini,Cucharaditas,Cuillères à café,ملاعق صغيرة,чайные ложки
item_Glasses_for_cold_drinks,Glasses,כוסות שתייה,Bicchieri,Vasos,Verres,أكواب,Очки
item_Mugs_for_hot_drinks_coffee_tea_,Mugs,ספלים,Tazze,Tazas,Tasses,أكواب قهوة,Кружки
item_Coffee_mug,Coffee Mug,ספל קפה,Tazza caffè,Taza café,Mug café,كوب قهوة,Кофейная кружка
item_Tea_mug,Tea Mug,ספל תה,Tazza tè,Taza té,Mug thé,كوب شاي,Чайная кружка
item_Serving_bowls_large_salad_bowls,Serving Bowls,קערות הגשה,Ciotole da portata,Cuencos de servir,Bols de service,أوعية تقديم,Сервировочные миски
item_Serving_bowl,Serving Bowl,קערת הגשה,Ciotola portata,Cuenco servir,Bol de service,وعاء تقديم,Сервировочная миска
item_Large_salad_bowl,Large Salad Bowl,קערת סלט גדולה,Insalatiera,Ensaladera,Saladier,وعاء سلطة كبير,Большая салатница
item_Pitcher_for_water_or_juice,Pitcher,קנקן,Brocca,Jarra,Pichet,إبريق,Кувшин
item_Water_pitcher,Water Pitcher,קנקן מים,Brocca acqua,Jarra agua,Pichet eau,إبريق ماء,Кувшин для воды
item_Juice_pitcher,Juice Pitcher,קנקן מיץ,Brocca succo,Jarra zumo,Pichet jus,إبريق عصير,Кувшин для сока
item_Chef_s_knife,Chef's Knife,סכין שף,Coltello chef,Cuchillo de chef,Couteau de chef,سكين طاه,Поварской нож
item_Bread_knife_serrated_,Bread Knife,סכין לחם,Coltello pane,Cuchillo de pan,Couteau à pain,سكين خبز,Хлебный нож
item_Small_paring_knives,Paring Knife,סכין קילוף,Spelucchino,Cuchillo de pelar,Couteau d'office,سكين تقشير,Нож для чистки овощей
item_Cutting_board_wood_or_high_quality_plastic_,Cutting Board,קרש חיתוך,Tagliere,Tabla de cortar,Planche à découper,لوح تقطيع,Разделочная доска
item_Spatula_metal_or_silicone_,Spatula,מרית (תרבד),Spatola,Espátula,Spatule,ملعقة مسطحة,Шпатель
item_Soup_ladle,Ladle,מצקת,Mestolo,Cucharón,Louche,مغرفة,Половник
item_Wooden_spoon_silicone_spoon_for_stirring,Wooden Spoon,כף עץ,Cucchiaio legno,Cuchara madera,Cuillère en bois,ملعقة خشبية,Деревянная ложка
item_Wooden_spoon,Wooden Spoon,כף עץ,Cucchiaio legno,Cuchara madera,Cuillère en bois,ملعقة خشبية,Деревянная ложка
item_Silicone_spoon,Silicone Spoon,כף סיליקון,Cucchiaio silicone,Cuchara silicona,Cuillère silicone,ملعقة سيليكون,Силиконовая ложка
item_Whisk,Whisk,מטרפה,Frusta,Batidor,Fouet,مخفقة,Взбейте
item_Vegetable_peeler,Peeler,קולפן,Pelapatate,Pelador,Éplucheur,قشارة,Очиститель
item_Grater,Grater,פומפייה,Grattugia,Rallador,Râpe,مبشرة,Терка
item_Can_opener,Can Opener,פותחן קופסאות,Apriscatole,Abrelatas,Ouvre-boîte,فتاحة علب,Консервный нож
item_Bottle_and_wine_opener_corkscrew_,Corkscrew,פותחן בקבוקים,Cavatappi,Sacacorchos,Tire-bouchon,فتاحة زجاجات,Штопор
item_Bottle_opener,Bottle Opener,פותחן בקבוקים,Apribottiglie,Abrebotellas,Décapsuleur,فتاحة زجاجات,Открывалка для бутылок
item_Wine_opener,Wine Opener,פותחן יין,Cavatappi,Sacacorchos,Tire-bouchon,فتاحة نبيذ,штопор
item_Large_colander,Colander,מסננת,Scolapasta,Escurridor,Passoire,مصفاة,Дуршлаг
item_Small_strainer,Strainer,מסננת קטנה,Colino,Colador,Tamis,مصفاة صغيرة,Фильтр
item_Measuring_cup_kitchen_scale,Measuring Cup,כוס מידה,Misurino,Taza medidora,Verre doseur,كوب قياس,Мерный стакан
item_Measuring_cup,Measuring Cup,כוס מידה,Misurino,Taza medidora,Verre doseur,كوب قياس,Мерный стакан
item_Kitchen_scale,Kitchen Scale,משקל מטבח,Bilancia cucina,Báscula cocina,Balance de cuisine,ميزان مطبخ,Кухонные весы
item_Kitchen_tongs,Tongs,מלקחיים,Pinze,Pinzas,Pinces,ملقط مطبخ,Щипцы
item_Garlic_press,Garlic Press,כותש שום,Schiaccia aglio,Prensa ajos,Presse-ail,هراسة ثوم,Пресс для чеснока
item_Rolling_pin,Rolling Pin,מערוך,Mattarello,Rodillo,Rouleau à pâtisserie,نشابة,Скалка
item_Plastic_or_glass_containers_for_food_storage,Food Containers,קופסאות אחסון,Contenitori cibo,Recipientes comida,Boîtes de conservation,حاويات طعام,Контейнеры для еды
item_Plastic_food_container,Plastic Container,קופסת פלסטיק,Contenitore plastica,Recipiente plástico,Boîte en plastique,حاوية بلاستيك,Пластиковый контейнер
item_Glass_food_container,Glass Container,קופסת זכוכית,Contenitore vetro,Recipiente vidrio,Boîte en verre,حاوية زجاج,Стеклянная емкость
item_Airtight_containers_jars_for_dry_food_storage,Jars,צנצנות,Barattoli,Tarros,Bocaux,برطمانات,Банки
item_Airtight_container,Airtight Container,קופסה אטומה,Contenitore ermetico,Recipiente hermético,Boîte hermétique,حاوية محكمة,Герметичный контейнер
item_Glass_jar,Glass Jar,צנצנת זכוכית,Barattolo vetro,Tarro vidrio,Bocal en verre,برطمان زجاجي,Стеклянная банка
item_Dish_drying_rack,Drying Rack,מתקן ייבוש כלים,Scolapiatti,Escurreplatos,Égouttoir,رف تجفيف,Сушилка для белья
item_Spice_rack_or_organizers,Spice Rack,מעמד תבלינים,Portaspezie,Especiero,Étagère à épices,رف بهارات,Полка для специй
item_Electric_kettle_water_dispenser,Electric Kettle,קומקום חשמלי,Bollitore elettrico,Hervidor eléctrico,Bouilloire électrique,غلاية كهربائية,Электрочайник
item_Electric_kettle,Electric Kettle,קומקום חשמלי,Bollitore elettrico,Hervidor eléctrico,Bouilloire électrique,غلاية كهربائية,Электрочайник
item_Water_dispenser,Water Dispenser,בר מים/תמי 4,Erogatore acqua,Dispensador agua,Distributeur d'eau,موزع مياه,Рукомойник
item_Pop_up_toaster_or_sandwich_press,Toaster,טוסטר,Tostapane,Tostadora,Grille-pain,محمصة خبز,Тостер
item_Pop_up_toaster,Toaster,מצנם (טוסטר קופץ),Tostapane,Tostadora,Grille-pain,محمصة خبز,Тостер
item_Sandwich_press,Sandwich Press,טוסטר לחיץ,Tostiera,Sandwichera,Appareil croque-monsieur,محمصة سندويشات,Сэндвич-пресс
item_Microwave,Microwave,מיקרוגל,Microonde,Microondas,Micro-ondes,ميكروويف,Микроволновая печь
item_Hand_blender,Hand Blender,בלנדר מוט,Frullatore immersione,Batidora de mano,Mixeur plongeant,خلاط يدوي,Ручной блендер
item_Coffee_maker_or_espresso_machine,Coffee Maker,מכונת קפה,Macchina caffè,Cafetera,Machine à café,صانعة قهوة,Кофеварка
item_Coffee_maker,Coffee Maker,מכונת קפה,Macchina caffè,Cafetera,Machine à café,صانعة قهوة,Кофеварка
item_Espresso_machine,Espresso Machine,מכונת אספרסו,Macchina espresso,Máquina espresso,Machine à expresso,ماكينة اسبريسو,Кофемашина для эспрессо
item_Television,Television,טלוויזיה,Televisione,Televisión,Télévision,تلفزيון,Телевидение
item_Laptop_Desktop_computer,Laptop / PC,מחשב/לפטופ,Computer portatile,Ordenador,Ordinateur,كمبيوتر,Ноутбук / ПК
item_Laptop,Laptop,מחשב נייד,Portatile,Portátil,Ordinateur portable,لابتوب,Ноутбук
item_Desktop_computer,Desktop Computer,מחשב נייח,Computer fisso,Ordenador sobremesa,Ordinateur de bureau,كمبيوتر مكتبي,Настольный компьютер
item_Computer_monitor,Monitor,מסך מחשב,Monitor,Monitor,Écran,شاشة,Монитор
item_Keyboard_and_mouse,Keyboard & Mouse,מקלדת ועכבר,Tastiera e mouse,Teclado y ratón,Clavier et souris,لوحة مفاتيح وماوس,Клавиатура и мышь
item_Keyboard,Keyboard,מקלדת,Tastiera,Teclado,Clavier,لوحة مفاتيح,Клавиатура
item_Mouse,Mouse,עכבר,Mouse,Ratón,Souris,ماوس,Мышь
item_Printer_and_ink_toner_cartridges,Printer,מדפסת,Stampante,Impresora,Imprimante,طابعة,Принтер
item_Printer,Printer,מדפסת,Stampante,Impresora,Imprimante,طابعة,Принтер
item_Ink_cartridges,Ink Cartridges,ראשי דיו,Cartucce inchiostro,Cartuchos tinta,Cartouches d'encre,خراطيش حبر,Чернильные картриджи
item_Toner_cartridges,Toner Cartridges,טונר למדפסת,Cartucce toner,Cartuchos tóner,Cartouches toner,حبر طابعة,Картриджи с тонером
item_External_hard_drive_SSD,External Drive,כונן חיצוני,Disco esterno,Disco externo,Disque externe,قرص صلب خارجي,Внешний привод
item_External_hard_drive,External Hard Drive,כונן קשיח חיצוני,Hard disk esterno,Disco duro externo,Disque dur externe,قرص صلب خارجي,Внешний жесткий диск
item_SSD,SSD,כונן SSD,SSD,SSD,SSD,قرص SSD,SSD
item_USB_flash_drives,USB Drive,דיסק און קי,Chiavetta USB,Memoria USB,Clé USB,فلاش ميموري,USB-накопитель
item_Webcam,Webcam,מצלמת רשת,Webcam,Cámara web,Webcam,كاميرا ويب,Веб-камера
item_Router_internet_router_,Router,ראוטר,Router,Router,Routeur,راوتر,Маршрутизатор
item_Speakers_Soundbar,Speakers,רמקולים,Altoparlanti,Altavoces,Haut-parleurs,مكبرات صوت,Докладчики
item_Speakers,Speakers,רמקולים,Altoparlanti,Altavoces,Haut-parleurs,مكبرات صوت,Докладчики
item_Soundbar,Soundbar,מקרן קול,Soundbar,Barra de sonido,Barre de son,ساوند بار,Саундбар
item_Gaming_console_PlayStation_Xbox_etc__,Gaming Console,קונסולת משחקים,Console giochi,Consola videojuegos,Console de jeux,وحدة ألعاب,Игровая консоль
item_PlayStation,PlayStation,פלייסטיישן,PlayStation,PlayStation,PlayStation,بلاي ستيشن,PlayStation
item_Xbox,Xbox,אקסבוקס,Xbox,Xbox,Xbox,إكس بوكس,Xbox
item_Tablet_or_E_reader,Tablet,טאבלט,Tablet,Tablet,Tablette,جهاز لوحي,Планшет
item_Tablet,Tablet,טאבלט,Tablet,Tablet,Tablette,جهاز لوحي,Планшет
item_E_reader,E-reader,קורא ספרים דיגיטלי,E-reader,E-reader,Liseuse,قارئ إلكتروني,Электронная книга
item_Headphones_or_wireless_earbuds,Headphones,אוזניות,Cuffie,Auriculares,Écouteurs,سماعات,Наушники
item_Headphones,Headphones,אוזניות גדולות,Cuffie,Auriculares,Casque audio,سماعات رأس,Наушники
item_Wireless_earbuds,Wireless Earbuds,אוזניות אלחוטיות,Auricolari wireless,Auriculares inalámbricos,Écouteurs sans fil,سماعات لاسلكية,Беспроводные наушники
item_Refrigerator_and_freezer,Refrigerator,מקרר,Frigorifero,Refrigerador,Réfrigérateur,ثلاجة,Холодильник
item_Refrigerator,Refrigerator,מקרר,Frigorifero,Refrigerador,Réfrigérateur,ثلاجة,Холодильник
item_Freezer,Freezer,מקפיא,Congelatore,Congelador,Congélateur,فريزر,Морозильная камера
item_Washing_machine,Washing Machine,מכונת כביסה,Lavatrice,Lavadora,Lave-linge,غسالة,Стиральная машина
item_Tumble_dryer,Dryer,מייבש כביסה,Asciugatrice,Secadora,Sèche-linge,مجفف,Сушилка
item_Oven_Stove,Oven / Stove,תנור/כיריים,Forno/Fornello,Horno/Estufa,Four/Cuisinière,فرن/موقد,Духовка / Плита
item_Oven,Oven,תנור,Forno,Horno,Four,فرن,Печь
item_Stove,Stove,כיריים,Fornello,Estufa,Cuisinière,موقد,Печь
item_Dishwasher,Dishwasher,מדיח כלים,Lavastoviglie,Lavavajillas,Lave-vaisselle,غسالة أطباق,Посудомоечная машина
item_Air_conditioner,Air Conditioner,מזגן,Condizionatore,Aire acondicionado,Climatiseur,مكيف هواء,Кондиционер
item_Vacuum_cleaner_robotic_cordless_or_regular_,Vacuum Cleaner,שואב אבק,Aspirapolvere,Aspiradora,Aspirateur,مكنسة كهربائية,Пылесос
item_Robotic_vacuum,Robotic Vacuum,שואב אבק רובוטי,Robot aspirapolvere,Robot aspirador,Aspirateur robot,مكنسة روبوت,Роботизированный пылесос
item_Cordless_vacuum,Cordless Vacuum,שואב אלחוטי,Aspirapolvere senza fili,Aspiradora inalámbrica,Aspirateur sans fil,مكنسة لاسلكية,Беспроводной пылесос
item_Regular_vacuum,Regular Vacuum,שואב אבק רגיל,Aspirapolvere,Aspiradora,Aspirateur,مكنسة عادية,Обычный пылесос
item_Iron,Iron,מגהץ,Ferro da stiro,Plancha,Fer à repasser,مكواة,Железо
item_Hair_dryer_hair_straightener,Hair Dryer,פנים/מחליק,Asciugacapelli,Secador,Sèche-cheveux,مجفف شعر,Фен
item_Hair_dryer,Hair Dryer,מייבש שיער (פן),Asciugacapelli,Secador de pelo,Sèche-cheveux,مجفف شعر,Фен
item_Hair_straightener,Hair Straightener,מחליק שיער,Piastra capelli,Plancha de pelo,Fer à lisser,مملس شعر,Выпрямитель для волос
review_tab,AI Exports,ייצוא AI,Esportazioni AI,Exportaciones de IA,Exportations IA,صادرات الذكاء الاصطناعي,Экспорт ИИ
reject,Reject,דחה,Rifiuta,Rechazar,Rejeter,رفض,Отклонять
confirm,Confirm,אישור,Conferma,Confirmar,Confirmer,تأكيد,Подтверждать
sub_Dairy,Dairy,מוצרי חלב,Latticini,Lácteos,Produits laitiers,ألبان,Молочный
sub_Eggs,Eggs,ביצים,Uova,Huevos,Œufs,بيض,Яйца
sub_Meat,Meat,בשר,Carne,Carne,Viande,لحم,Мясо
sub_Poultry,Poultry,עוף,Pollame,Aves,Volaille,دواجن,Домашняя птица
sub_Fish,Fish,דגים,Pesce,Pescado,Poisson,سمك,Рыба
sub_Vegetables,Vegetables,ירקות,Verdure,Verduras,Légumes,خضروات,Овощи
sub_Fruits,Fruits,פירות,Frutta,Frutas,Fruits,فواكه,Фрукты
sub_Pantry,Pantry,מזווה,Dispensa,Despensa,Garde-manger,مؤن,Кладовая
sub_Dry_Goods,Dry Goods,מוצרים יבשים,Prodotti secchi,Productos secos,Produits secs,مواد جافة,Сухие товары
sub_Carbs,Carbs,פחמימות,Carboidrati,Carbohidratos,Glucides,كربوهيدرات,Углеводы
sub_Legumes,Legumes,קטניות,Legumi,Legumbres,Légumineuses,بقوليات,Бобовые
sub_Spices,Spices,תבלינים,Spezie,Especias,Épices,بهارات,Специи
sub_Baking_Goods,Baking Goods,מוצרי אפייה,Prodotti da forno,Productos de repostería,Produits de pâtisserie,مستلزمات خبز,Выпечка
sub_Sauces,Sauces,רטבים,Salse,Salsas,Sauces,صلصات,Соусы
sub_Spreads,Spreads,ממרחים,Creme spalmabili,Untables,Pâtes à tartiner,معاجين,Спреды
sub_Bread,Bread,לחם,Pane,Pan,Pain,خبز,Хлеб
sub_Pastries,Pastries,מאפים,Pasticcini,Pasteles,Pâtisseries,معجنات,Выпечка
sub_Snacks,Snacks,חטיפים,Snack,Snacks,Snacks,وجبات خفيفة,Закуски
sub_Sweets,Sweets,ממתקים,Dolci,Dulces,Bonbons,حلويات,Сладости
sub_Dietary_Supplements,Dietary Supplements,תוספי תזונה,Integratori alimentari,Suplementos dietéticos,Compléments alimentaires,مكملات غذائية,Биологически активные добавки
sub_Vitamins,Vitamins,ויטמינים,Vitamine,Vitaminas,Vitamines,فيتامينات,Витамины
cat_Cleaning,Cleaning,ניקיון,Pulizia,Limpieza,Nettoyage,تنظيف,Уборка
cat_Home_Maintenance,Home Maintenance,תחזוקת הבית,Manutenzione casa,Mantenimiento del hogar,Entretien de la maison,صيانة المنزل,Обслуживание дома
cat_Toiletries,Toiletries,טואלטיקה,Articoli da toeletta,Artículos de aseo,Articles de toilette,لوازم الاستحمام,Туалетные принадлежности
cat_Pharmacy,Pharmacy,פארמה,Farmacia,Farmacia,Pharmacie,صيدلية,Аптека
sub_OTC_Medicines,OTC Medicines,תרופות ללא מרשם,Farmaci da banco,Medicamentos de venta libre,Médicaments en vente libre,أدوية بدون وصفة,"Лекарства, отпускаемые без рецепта"
cat_General_Supplies,General Supplies,ציוד כללי,Forniture generali,Suministros generales,Fournitures générales,لوازم عامة,Общие поставки
cat_Home_Office_Supplies,Home Office Supplies,ציוד משרדי,Forniture per ufficio,Suministros de oficina,Fournitures de bureau,لوازم مكتبية,Товары для домашнего офиса
sub_Electrical,Electrical,חשמל,Elettrico,Eléctrico,Électrique,كهرباء,Электрооборудование
sub_Lighting,Lighting,תאורה,Illuminazione,Iluminación,Éclairage,إضاءة,Освещение
sub_Miscellaneous,Miscellaneous,שונות,Varie,Miscelánea,Divers,متفرقات,Разнообразный
sub_Maintenance,Maintenance,תחזוקה,Manutenzione,Mantenimiento,Entretien,صيانة,Обслуживание
sub_Stationery,Stationery,מכשירי כתיבה,Cancelleria,Papelería,Papeterie,قرطاسية,Канцелярские товары
sub_Desk_Supplies,Desk Supplies,ציוד לשולחן כתיבה,Forniture da scrivania,Suministros de escritorio,Fournitures de bureau,لوازم مكتبية,Настольные принадлежности
sub_Materials,Materials,חומרים,Materiali,Materiales,Matériaux,مواد,Материалы
sub_Accessories,Accessories,אביזרים,Accessori,Accesorios,Accessoires,ملحقات,Аксессуары
sub_Power_Tools,Power Tools,כלי עבודה חשמליים,Elettroutensili,Herramientas eléctricas,Outils électriques,أدوات كهربائية,Электроинструменты
sub_Pain_Relievers,Pain Relievers,משככי כאבים,Antidolorifici,Analgésicos,Analgésiques,مسكنات ألم,Обезболивающие
sub_Fever_Reducers,Fever Reducers,מורידי חום,Antipiretici,Antitérmicos,Antipyrétiques,خافضات حرارة,Жаропонижающие средства
sub_Topical_Treatments,Topical Treatments,טיפולים מקומיים,Trattamenti topici,Tratamientos tópicos,Traitements topiques,علاجات موضعية,Местные средства
sub_Ointments,Ointments,משחות,Unguenti,Ungüentos,Pommades,مراهم,Мази
sub_Winter_Illnesses,Winter Illnesses,מחלות חורף,Malattie invernali,Enfermedades de invierno,Maladies d'hiver,أمراض الشتاء,Зимние болезни
sub_Pots,Pots,סירים,Pentole,Ollas,Casseroles,أواني,Горшки
sub_Pans,Pans,מחבתות,Padelle,Sartenes,Poêles,مقالي,Кастрюли
sub_Dinnerware,Dinnerware,כלי אוכל,Stoviglie,Vajilla,Vaisselle,أطباق,Столовая посуда
sub_Serving,Serving,הגשה,Servizio,Servir,Service,تقديم,Подача
sub_Cooking_Accessories,Cooking Accessories,אביזרי בישול,Accessori da cucina,Accesorios de cocina,Accessoires de cuisine,ملحقات الطبخ,Кухонные принадлежности
sub_Baking_Accessories,Baking Accessories,אביזרי אפייה,Accessori da forno,Accesorios de repostería,Accessoires de pâtisserie,ملحقات الخבז,Аксессуары для выпечки
sub_Cutting_Accessories,Cutting Accessories,אביזרי חיתוך,Accessori da taglio,Accesorios de corte,Accessoires de coupe,ملحقات التقطيع,Режущие принадлежности
sub_Storage,Storage,אחסון,Conservazione,Almacenamiento,Rangement,تخزين,Хранилище
sub_Organization,Organization,ארגון,Organizzazione,Organización,Organisation,تنظيم,Организация
sub_Small_Kitchen_Appliances,Small Kitchen Appliances,מכשירי מטבח קטנים,Piccoli elettrodomestici da cucina,Pequeños electrodomésticos de cocina,Petits appareils de cuisine,أجهزة مطبخ صغيرة,Мелкая кухонная техника
cat_Entertainment,Entertainment,בידור,Intrattenimento,Entretenimiento,Divertissement,ترفيه,Развлечение
sub_Entertainment,Entertainment,בידור,Intrattenimento,Entretenimiento,Divertissement,ترفيه,Развлечение
sub_Computing,Computing,מחשוב,Informatica,Informática,Informatique,حوسبة,Вычислительная техника
sub_Major_Appliances,Major Appliances,מכשירים גדולים,Grandi elettrodomestici,Electrodomésticos grandes,Gros électroménager,أجهزة رئيسية,Крупная бытовая техника
sub_Small_Home_Appliances,Small Home Appliances,מכשירי חשמל קטנים לבית,Piccoli elettrodomestici,Pequeños electrodomésticos,Petits appareils ménagers,أجهزة منزلية صغيرة,Мелкая бытовая техника
sub_Smart_Tech,Smart Tech,טכנולוגיה חכמה,Tecnologia smart,Tecnología inteligente,Technologie intelligente,تكنولوجيا ذكية,Умные технологии
cat_Clothing,Clothing,ביגוד,Abbigliamento,Ropa,Vêtements,ملابس,Одежда
cat_Footwear,Footwear,הנעלה,Calzature,Calzado,Chaussures,أحذية,Обувь
sub_Footwear,Footwear,הנעלה,Calzature,Calzado,Chaussures,أحذية,Обувь
sub_Intimates,Intimates,הלבשה תחתונה,Intimo,Ropa íntima,Sous-vêtements,ملابس داخلية,Нижнее белье
sub_Loungewear,Loungewear,בגדי בית,Abbigliamento da casa,Ropa de estar por casa,Vêtements de détente,ملابس نوم,Домашняя одежда
sub_Winter_Clothing,Winter Clothing,בגדי חורף,Abbigliamento invernale,Ropa de invierno,Vêtements d'hiver,ملابس شتوية,Зимняя одежда
sub_Transitional_Clothing,Transitional Clothing,בגדי מעבר,Abbigliamento mezza stagione,Ropa de entretiempo,Vêtements de mi-saison,ملابس انتقالية,Переходная одежда
cat_Home_Textiles,Home Textiles,טקסטיל לבית,Tessili per la casa,Textiles para el hogar,Textiles de maison,منسوجات منزلية,Домашний текстиль
cat_Bedding,Bedding,מצעים,Biancheria da letto,Ropa de cama,Literie,مفارش,Постельные принадлежности
sub_Bath_Textiles,Bath Textiles,טקסטיל אמבטיה,Tessili da bagno,Textiles de baño,Textiles de bain,منسوجات الحمام,Текстиль для ванных комнат
sub_Kitchen_Textiles,Kitchen Textiles,טקסטיל מטבח,Tessili da cucina,Textiles de cocina,Textiles de cuisine,منسوجات المطبخ,Кухонный текстиль
sub_Food,Food,מזון,Cibo,Comida,Nourriture,طعام,Еда
sub_Feeding,Feeding,האכלה,Alimentazione,Alimentación,Alimentation,إطعام,Кормление
sub_Care,Care,טיפוח,Cura,Cuidado,Soin,عناية,Уход
sub_Nursing,Nursing,הנקה,Allattamento,Lactancia,Allaitement,رضاعة,Сестринское дело
sub_Diapering,Diapering,החתלה,Pannolini,Cambio de pañales,Change,تغيير حفاضات,Пеленание
sub_Hygiene,Hygiene,היגיינה,Igiene,Higiene,Hygiène,نظافة,Гигиена
sub_Gear,Gear,ציוד,Attrezzatura,Equipamiento,Équipement,معدات,Механизм
sub_Travel,Travel,נסיעות,Viaggio,Viaje,Voyage,سفر,Путешествовать
cat_Outdoor,Outdoor,חוץ,Esterni,Exterior,Extérieur,خارجي,На открытом воздухе
cat_Garden_Equipment,Garden Equipment,ציוד גינה,Attrezzatura da giardino,Equipo de jardín,Équipement de jardin,معدات الحديقة,Садовое оборудование
sub_Gardening_Tools,Gardening Tools,כלי גינון,Attrezzi da giardinaggio,Herramientas de jardinería,Outils de jardinage,أدوات البستنة,Садовые инструменты
sub_Outdoor_Maintenance,Outdoor Maintenance,תחזוקת חוץ,Manutenzione esterna,Mantenimiento exterior,Entretien extérieur,صيانة خارجية,Уход за наружными поверхностями
sub_Outdoor_Living,Outdoor Living,פנאי בחוץ,Vita all'aperto,Vida al aire libre,Vie en plein air,معيشة خارجية,Жизнь на свежем воздухе
sub_Home_Gym_Basics,Home Gym Basics,ציוד כושר בסיסי,Basi per palestra in casa,Básicos de gimnasio en casa,Bases de gym à domicile,أساسيات الصالة الرياضية المنزلية,Основы домашнего спортзала
sub_Recovery,Recovery,התאוששות,Recupero,Recuperación,Récupération,تعافي,Восстановление
sub_Support,Support,תמיכה,Supporto,Soporte,Soutien,دعم,Поддерживать
sub_Action_Figures,Action Figures,בובות פעולה,Action figures,Figuras de acción,Figurines d'action,مجسمات حركة,Фигурки героев
sub_Playsets,Playsets,ערכות משחק,Playset,Sets de juego,Ensembles de jeu,مجموعات لعب,Игровые наборы
sub_Building_Blocks,Building Blocks,קוביות בנייה,Costruzioni,Bloques de construcción,Blocs de construction,مكعبات بناء,Строительные блоки
sub_Construction,Construction,בנייה,Costruzione,Construcción,Construction,بناء,Строительство
sub_Dolls,Dolls,בובות,Bambole,Muñecas,Poupées,دمى,Куклы
sub_Vehicles,Vehicles,רכבים,Veicoli,Vehículos,Véhicules,مركبات,Транспортные средства
sub_Remote_Control,Remote Control,שלט רחוק,Telecomando,Control remoto,Télécommande,تحكم عن بعد,Пульт дистанционного управления
sub_Arts,Arts,אמנות,Arti,Artes,Arts,فنون,Искусство
sub_Crafts,Crafts,יצירה,Mestieri,Manualidades,Bricolage,حرف,Ремесла
sub_Board_Games,Board Games,משחקי קופסה,Giochi da tavolo,Juegos de mesa,Jeux de société,ألعاب لوحية,Настольные игры
sub_Puzzles,Puzzles,פאזלים,Puzzle,Puzles,Puzzles,ألغاز,Головоломки
sub_Plush,Plush,פרווה,Peluche,Peluche,Peluche,فרו,Плюшевая
sub_Stuffed_Animals,Stuffed Animals,בובות פרווה,Animali di peluche,Animales de peluche,Animaux en peluche,حيوانات محشوة,Мягкие игрушки
sub_Educational,Educational,חינוכי,Educativo,Educativo,Éducatif,تعليمي,Образовательный
sub_STEM_Toys,STEM Toys,צעצועי STEM,Giocattoli STEM,Juguetes STEM,Jouets STEM,ألعاب STEM,STEM-игрушки
cam_inst_avatar_main,📸 Capture full body (incl. face),📸 צלמי גוף מלא (כולל פנים),📸 Cattura corpo intero,📸 Capturar cuerpo entero,📸 Capturer le corps entier,📸 التقط صورة للجسم بالكامل,📸 Съемка всего тела (включая лицо)
cam_inst_avatar_sub,Ensure good lighting and fitted clothes,וודאי תאורה טובה ובגדים צמודים,Assicurati di avere una buona luce,Asegura buena iluminación,Assurez un bon éclairage,تأكد من الإضاءة الجيدة,Обеспечьте хорошее освещение и одежду по фигуре.
cam_inst_cloth_main,👕 Place the item in the center,👕 מקמי את הפריט במרכז,👕 Posiziona l'oggetto al centro,👕 Coloca el artículo en el centro,👕 Placez l'article au centre,👕 ضع العنصر في المنتصف,👕 Поместите предмет в центр
